epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,118.425,1.16306,0.92424,1.0946,0.73516,0.76549,0.83918,0.54172,1.16042,0.81772,1.08587,8.35002e-05,8.35002e-05,8.35002e-05
35,121.289,1.221,1.01669,1.13117,0.74663,0.76901,0.8352,0.54379,1.17164,0.82017,1.091,8.30002e-05,8.30002e-05,8.30002e-05
36,124.115,1.13847,0.93182,1.0967,0.7504,0.79334,0.83432,0.5371,1.17164,0.81099,1.09334,8.25002e-05,8.25002e-05,8.25002e-05
37,127.079,1.16383,0.88629,1.10225,0.82645,0.72748,0.85393,0.55229,1.17045,0.79895,1.09381,8.20002e-05,8.20002e-05,8.20002e-05
38,131.157,1.1773,0.91162,1.0922,0.88374,0.72289,0.85348,0.54727,1.17501,0.79768,1.09577,8.15002e-05,8.15002e-05,8.15002e-05
39,133.918,1.20629,0.9346,1.09668,0.87532,0.71937,0.85213,0.55841,1.16579,0.79556,1.08797,8.10002e-05,8.10002e-05,8.10002e-05
40,136.763,1.10726,0.8402,1.06055,0.87425,0.71996,0.85644,0.561,1.16654,0.8046,1.08407,8.05002e-05,8.05002e-05,8.05002e-05
41,139.635,1.16141,0.87493,1.05721,0.90808,0.69459,0.84854,0.56251,1.16649,0.8012,1.08222,8.00002e-05,8.00002e-05,8.00002e-05
42,143.453,1.21145,0.93191,1.11361,0.9117,0.69085,0.8488,0.56265,1.15664,0.78907,1.08029,7.95002e-05,7.95002e-05,7.95002e-05
43,146.443,1.10988,0.87141,1.05876,0.86363,0.74268,0.85259,0.57125,1.14763,0.7715,1.07748,7.90002e-05,7.90002e-05,7.90002e-05
44,149.317,1.16103,0.94809,1.1131,0.86882,0.74586,0.84673,0.5649,1.15717,0.77121,1.08235,7.85002e-05,7.85002e-05,7.85002e-05
45,152.07,1.12028,0.87002,1.09811,0.82494,0.77641,0.84617,0.55742,1.17884,0.78101,1.08961,7.80002e-05,7.80002e-05,7.80002e-05
46,155.378,1.08589,0.83967,1.08145,0.84008,0.772,0.84318,0.54984,1.18294,0.79492,1.08941,7.75002e-05,7.75002e-05,7.75002e-05
